src_ip,dst_ip,server_port,prot,p_count,b_count,max_size,min_size,abyte_count,sbyte_count,Unnamed: 10
17.248.184.107,192.168.125.40,443,6,0.000100734,2.32E-05,0.008219178,0.055098935,0.069177737,0.075885996,AppleiCloud
192.168.128.25,17.248.137.239,443,6,0.000165491,9.18E-06,0,0.043417047,0.01387581,0.03191103,AppleiCloud
17.248.137.239,192.168.128.25,443,6,0.000158296,2.14E-05,0.008219178,0.061073059,0.039777974,0.06832213,AppleiCloud
192.168.122.104,17.248.137.243,443,6,0.000158296,7.89E-06,0.008219178,0.013508371,0.012018761,0.015281823,AppleiCloud
17.248.137.243,192.168.122.104,443,6,0.000158296,3.21E-05,0.008219178,0.055098935,0.061724442,0.071187558,AppleiCloud
192.168.127.68,17.248.137.181,443,6,0.000107929,7.02E-06,0.008219178,0.046423135,0.016608227,0.035491617,AppleiCloud
17.248.137.181,192.168.127.68,443,6,9.35E-05,2.62E-05,0.008219178,0.109741248,0.084322481,0.115602207,AppleiCloud
192.168.122.107,17.248.184.40,443,6,0.000172687,8.39E-06,0,0.036073059,0.011639686,0.024448258,AppleiCloud
17.248.184.40,192.168.122.107,443,6,0.000165491,3.23E-05,0.008219178,0.109741248,0.059405379,0.092278648,AppleiCloud
192.168.121.31,17.248.184.45,443,6,0.00012232,7.82E-06,0,0.038203957,0.016374589,0.032388681,AppleiCloud
17.248.184.45,192.168.121.31,443,6,9.35E-05,4.47E-06,0.008219178,0.037861492,0.01099927,0.028609199,AppleiCloud
192.168.127.31,17.248.184.51,443,6,0.000496474,8.93E-05,0.008219178,0.055555556,0.055979664,0.071598554,AppleiCloud
17.248.184.51,192.168.127.31,443,6,0.000482084,8.22E-05,0.008219178,0.109741248,0.052858554,0.084974492,AppleiCloud
192.168.121.75,17.248.184.9,443,6,0.000129515,7.04E-06,0,0.037975647,0.013347251,0.028051754,AppleiCloud
17.248.184.9,192.168.121.75,443,6,0.000107929,3.90E-06,0.008219178,0.024619482,0.007390627,0.01755922,AppleiCloud
192.168.128.199,17.248.137.232,443,6,0.000201468,1.07E-05,0,0.040829528,0.013149458,0.028261805,AppleiCloud
17.248.137.232,192.168.128.199,443,6,0.000158296,2.59E-05,0.008219178,0.055098935,0.049158938,0.069988023,AppleiCloud
192.168.121.104,17.248.137.196,443,6,0.001841992,0.00084413,0.008219178,0.055555556,0.15100159,0.03862354,AppleiCloud
17.248.137.196,192.168.121.104,443,6,0.001395884,5.25E-05,0.008219178,0.055098935,0.00834776,0.031628486,AppleiCloud
192.168.121.32,17.248.137.243,443,6,0.00013671,1.49E-05,0.008219178,0.050837139,0.031106817,0.051316869,AppleiCloud
17.248.137.243,192.168.121.32,443,6,0.000115124,3.21E-05,0.008219178,0.109741248,0.085073316,0.125745894,AppleiCloud
192.168.125.99,17.248.137.232,443,6,0.000107929,4.23E-06,0.008219178,0.024733638,0.008362715,0.018278275,AppleiCloud
17.248.137.232,192.168.125.99,443,6,0.000107929,2.86E-05,0.008219178,0.055098935,0.080517844,0.079892774,AppleiCloud
192.168.128.46,17.248.137.211,443,6,0.000223054,2.26E-05,0,0.055555556,0.029100593,0.045489137,AppleiCloud
17.248.137.211,192.168.128.46,443,6,0.000158296,1.70E-05,0.008219178,0.066933029,0.030679973,0.063072182,AppleiCloud
192.168.125.40,17.248.137.203,443,6,0.00012232,7.43E-06,0.008219178,0.046917808,0.015357306,0.032263974,AppleiCloud
17.248.137.203,192.168.125.40,443,6,0.000115124,1.68E-05,0.008219178,0.055098935,0.042611278,0.066699239,AppleiCloud
192.168.121.75,17.248.184.25,443,6,0.000273421,1.68E-05,0,0.038964992,0.016113433,0.028423722,AppleiCloud
17.248.184.25,192.168.121.75,443,6,0.00025903,2.99E-05,0.008219178,0.109741248,0.033918177,0.071360353,AppleiCloud
192.168.122.74,17.248.137.202,443,6,0.00012232,8.44E-06,0,0.0456621,0.018023079,0.040104939,AppleiCloud
